"cancelled","financial_status","fulfillment_status","order_id","order_name","purchase_option","sale_kind","sale_line_type","cost_tracked","customer_id","customer_type","orders","total_sales","average_order_value","discounts","gross_sales","net_sales","returns","shipping","taxes","total_tips","total_cost","gross_profit","gross_margin","units_per_transaction","customers","pending_sales","ordered_item_quantity","net_quantity","average_units_ordered"
"No","paid","fulfilled","3195030143155","#22391","One-time","order","product","No","4618355671219","First-time","1","1061.44","1061.44","-187.31","1248.75","1061.44","0","0","0","0","0","0","0","125","1","0","125","125","125"
"No","paid","fulfilled","4626217959669","#28864","One-time","order","product","No","4399463596211","Returning","1","446.56","446.56","0","446.56","446.56","0","0","0","0","0","0","0","8","1","0","8","8","8"
"No","paid","fulfilled","4645783208181","#29228","One-time","order","product","No","2133609906273","Returning","1","400.88","400.88","0","400.88","400.88","0","0","0","0","0","0","0","6","1","0","6","6","6"
"No","paid","fulfilled","4077620986035","#26277","One-time","order","product","No","5557948121267","Returning","1","237.98","237.98","0","237.98","237.98","0","0","0","0","0","0","0","2","1","0","2","2","2"
"No","paid","fulfilled","3194848575667","#22386","One-time","order","product","No","4618205331635","First-time","1","168.94","168.94","0","168.94","168.94","0","0","0","0","0","0","0","6","1","0","6","6","6"
"No","paid","fulfilled","3940481433779","#25370","One-time","order","product","No","5339675263155","Returning","1","150","150","0","150","150","0","0","0","0","0","0","0","2","1","0","2","2","2"
"No","paid","fulfilled","4622702706933","#28782","One-time","order","product","No","6009652773109","First-time","1","133.94","133.94","0","133.94","133.94","0","0","0","0","0","0","0","6","1","0","6","6","6"
"No","paid","fulfilled","4594725552373","#28013","One-time","order","product","No","5976170594549","First-time","1","133.41","133.41","-23.54","156.95","133.41","0","0","0","0","0","0","0","5","1","0","5","5","5"
"No","paid","fulfilled","2228776337505","#13718","One-time","order","product","No","655726721","Returning","1","119","119","0","119","119","0","0","0","0","0","0","0","1","1","0","1","1","1"
"No","paid","unfulfilled","4654459650293","#29509","One-time","order","product","No","6051092201717","First-time","1","118.99","118.99","0","118.99","118.99","0","0","0","0","0","0","0","1","1","0","1","1","1"
"No","paid","fulfilled","4657966383349","#29623","One-time","order","product","No","6055690633461","First-time","1","118.99","118.99","0","118.99","118.99","0","0","0","0","0","0","0","1","1","0","1","1","1"
"No","paid","fulfilled","2760116764769","#18494","One-time","order","product","No","3675674673249","First-time","1","118.99","118.99","0","118.99","118.99","0","0","0","0","0","0","0","1","1","0","1","1","1"
"No","paid","fulfilled","4590073577717","#27817","One-time","order","product","No","5969391780085","First-time","1","113.98","113.98","0","113.98","113.98","0","0","0","0","0","0","0","2","1","0","2","2","2"
"No","paid","fulfilled","4632752128245","#29008","One-time","order","product","No","6022734807285","First-time","1","111.96","111.96","0","111.96","111.96","0","0","0","0","0","0","0","4","1","0","4","4","4"
"No","paid","fulfilled","4075118919859","#26266","One-time","order","product","No","5635459907763","First-time","1","111.96","111.96","0","111.96","111.96","0","0","0","0","0","0","0","4","1","0","4","4","4"
"No","paid","fulfilled","4592291512565","#27926","One-time","order","product","No","5973274427637","First-time","1","107.05","107.05","-18.89","125.94","107.05","0","0","0","0","0","0","0","3","1","0","3","3","3"
